Key,Dict1_Values,Dict2_Values,Dict3_Values
2,996,0.29231929779052734,21.72351245504357
3,1003,0.2600364685058594,17.535759459051175
4,1258,0.30843186378479004,13.913875324468918
5,1372,0.350116491317749,11.74096662673413
6,1133,0.30553746223449707,10.261960159127213
7,735,0.21660184860229492,9.46378396800477
8,836,0.255964994430542,8.723150590326163
9,725,0.23270702362060547,8.110076996835154
10,724,0.24224615097045898,7.530440511457026
